epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9606,2.25568,3.19496,2.32875,0.2781,0.1924,0.1444,0.05721,2.40733,3.70966,2.63874,0.000550054,0.000550054,0.000550054
2,81.6743,2.16862,2.68064,2.32614,0.2442,0.10022,0.05002,0.01977,2.51904,3.38384,2.79888,0.000996254,0.000996254,0.000996254
3,121.81,2.17428,2.55881,2.30209,0.14903,0.18648,0.0829,0.03222,2.23461,3.0231,2.51786,0.00133243,0.00133243,0.00133243
4,162.783,2.13348,2.55567,2.3032,0.49513,0.16032,0.17616,0.07886,2.16421,2.97879,2.52652,0.0011719,0.0011719,0.0011719
5,204.622,2.05127,2.44292,2.22778,0.58967,0.26045,0.30843,0.15645,2.00573,2.26413,2.32534,0.00100687,0.00100687,0.00100687
6,245.781,1.98254,2.30532,2.16226,0.58132,0.30015,0.33938,0.16973,1.95165,2.13679,2.19964,0.000841835,0.000841835,0.000841835
7,286.768,1.92319,2.22198,2.09237,0.52997,0.31162,0.36124,0.19099,1.85616,2.00753,2.07906,0.000676802,0.000676802,0.000676802
8,328.465,1.87663,2.1503,2.04334,0.62325,0.34491,0.40827,0.22221,1.81248,1.87318,2.07207,0.000511769,0.000511769,0.000511769
9,370.89,1.81167,2.00461,1.99637,0.61055,0.35564,0.4219,0.22943,1.81077,1.84887,2.04372,0.000346736,0.000346736,0.000346736
10,412.916,1.77428,1.95439,1.95172,0.56315,0.36363,0.42074,0.23632,1.71781,1.81619,1.9895,0.000181703,0.000181703,0.000181703
