epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6776,2.05292,2.6374,2.07003,0.23623,0.23073,0.19329,0.09597,2.0726,2.84009,2.36594,0.000329966,0.000329966,0.0673333
2,89.1501,1.96572,2.34488,2.02697,0.48612,0.15362,0.15909,0.06651,2.06302,4.30028,2.54304,0.000650166,0.000650166,0.0343202
3,132.23,1.9477,2.34086,2.05144,0.17428,0.26723,0.11691,0.03917,2.34323,3.85364,2.63808,0.000957166,0.000957166,0.00129387
4,174.321,1.93464,2.29131,2.02789,0.44796,0.29184,0.2806,0.13883,2.00952,2.93526,2.22209,0.0009406,0.0009406,0.0009406
5,218.621,1.90625,2.22844,1.98652,0.46004,0.29358,0.30783,0.1533,1.95703,2.32779,2.26524,0.0009208,0.0009208,0.0009208
6,262.861,1.89591,2.19685,1.96779,0.51796,0.3197,0.35427,0.17867,1.91429,2.07231,2.13351,0.000901,0.000901,0.000901
7,306.555,1.87675,2.17949,1.96254,0.47071,0.34223,0.33467,0.15715,1.96665,2.11772,2.23113,0.0008812,0.0008812,0.0008812
8,348.119,1.8214,2.0947,1.93623,0.51435,0.3246,0.3603,0.18733,1.90874,2.1032,2.21882,0.0008614,0.0008614,0.0008614
9,391.9,1.82078,2.06844,1.9181,0.54556,0.34438,0.36667,0.18088,1.9019,2.17786,2.12148,0.0008416,0.0008416,0.0008416
10,434.027,1.78184,2.06844,1.90856,0.59655,0.36233,0.40658,0.21486,1.82572,2.002,2.19085,0.0008218,0.0008218,0.0008218
11,478.222,1.74532,1.9899,1.87435,0.62027,0.33045,0.38706,0.19705,1.82973,2.01368,2.0921,0.000802,0.000802,0.000802
12,521.003,1.72462,1.93684,1.84326,0.58719,0.36639,0.37316,0.18767,1.81472,1.96482,2.05385,0.0007822,0.0007822,0.0007822
13,563.944,1.71691,1.95619,1.83436,0.49009,0.39041,0.40456,0.21555,1.83298,2.05495,2.07005,0.0007624,0.0007624,0.0007624
14,608.061,1.66448,1.85727,1.80573,0.58314,0.401,0.42099,0.22352,1.76113,1.8708,2.00117,0.0007426,0.0007426,0.0007426
15,652.514,1.68087,1.84389,1.8134,0.55526,0.40797,0.44542,0.24346,1.75416,1.76034,1.98826,0.0007228,0.0007228,0.0007228
16,696.342,1.66872,1.823,1.79846,0.63166,0.39539,0.45742,0.25093,1.70156,1.70659,1.99259,0.000703,0.000703,0.000703
17,740.214,1.64305,1.77981,1.7883,0.57534,0.39482,0.44175,0.23123,1.70296,1.77716,1.9474,0.0006832,0.0006832,0.0006832
18,781.226,1.62601,1.78526,1.77095,0.55385,0.4267,0.46354,0.25567,1.65635,1.74032,1.91242,0.0006634,0.0006634,0.0006634
19,825.144,1.60338,1.70784,1.73787,0.53756,0.46255,0.48366,0.26697,1.66495,1.66235,1.90468,0.0006436,0.0006436,0.0006436
20,869.268,1.56859,1.68483,1.72067,0.61154,0.44131,0.48237,0.25593,1.69817,1.65435,1.9328,0.0006238,0.0006238,0.0006238
21,911.397,1.56706,1.64455,1.70578,0.64112,0.45508,0.51101,0.28976,1.60748,1.63822,1.90107,0.000604,0.000604,0.000604
22,954.946,1.53952,1.59581,1.69191,0.55264,0.49918,0.51214,0.28427,1.6071,1.55351,1.87569,0.0005842,0.0005842,0.0005842
23,997.627,1.53042,1.56454,1.66847,0.62612,0.46089,0.52278,0.29913,1.56589,1.58456,1.84508,0.0005644,0.0005644,0.0005644
24,1041.93,1.50051,1.5538,1.66522,0.64158,0.46751,0.53034,0.29558,1.59969,1.53251,1.86246,0.0005446,0.0005446,0.0005446
25,1084.42,1.49543,1.51216,1.63754,0.56571,0.51351,0.54845,0.3028,1.56911,1.4938,1.84518,0.0005248,0.0005248,0.0005248
26,1128.13,1.45866,1.45264,1.61874,0.62477,0.5164,0.56405,0.32979,1.50491,1.40438,1.7855,0.000505,0.000505,0.000505
27,1172.15,1.44786,1.43816,1.6149,0.68027,0.47291,0.55665,0.32051,1.54601,1.40769,1.79844,0.0004852,0.0004852,0.0004852
28,1213.58,1.42709,1.39419,1.57684,0.70495,0.51119,0.60174,0.34129,1.48342,1.31749,1.75819,0.0004654,0.0004654,0.0004654
29,1256.96,1.42779,1.40546,1.57895,0.6381,0.57114,0.60285,0.35279,1.50628,1.32428,1.75485,0.0004456,0.0004456,0.0004456
30,1300.88,1.36978,1.30486,1.52992,0.69038,0.57469,0.63356,0.37161,1.45548,1.28396,1.71783,0.0004258,0.0004258,0.0004258
31,1344.8,1.38769,1.31272,1.54194,0.69148,0.58375,0.63472,0.37893,1.43122,1.27321,1.69515,0.000406,0.000406,0.000406
32,1388.69,1.35427,1.27813,1.51866,0.73207,0.53328,0.61845,0.36951,1.44239,1.2805,1.70585,0.0003862,0.0003862,0.0003862
33,1430.69,1.36145,1.28617,1.52013,0.70732,0.56862,0.63512,0.37219,1.41963,1.24186,1.70721,0.0003664,0.0003664,0.0003664
34,1472.2,1.31059,1.2243,1.49059,0.70042,0.5947,0.64581,0.39243,1.40177,1.2016,1.67494,0.0003466,0.0003466,0.0003466
35,1515.87,1.27937,1.16946,1.45568,0.70778,0.58037,0.65299,0.40038,1.37504,1.16667,1.66106,0.0003268,0.0003268,0.0003268
